post_id,user_id,text,author_gender,author_partisanship,author_ideology,author_race,author_age,author_education,author_income,author_marital_status,author_religiosity,selected,prompt_style,trial_id,sentiment_polarity,sentiment_subjectivity,primary_topic,polarization_score,toxicity
post_00064,user_00032,What's everyone's take on labor rights? I'm genuinely curious.,male,Republican,moderate,Black,45-54,college,<25k,married,somewhat religious,0,popular,13,0.4389,0.6857,travel_&_adventure,0.3465,0.1609
post_00043,user_00022,What's everyone's take on housing affordability? I'm genuinely curious.,male,Other,liberal,White,55-64,college,25k-50k,single,religious,0,popular,13,-0.8345,0.9359,diaries_&_daily_life,0.8655,0.1544
post_00151,user_00076,Hot take: election integrity is more complicated than people think.,female,Republican,liberal,Asian,45-54,high school,75k-100k,married,somewhat religious,0,popular,13,0.3297,0.2478,science_&_technology,0.9071,0.144
post_00152,user_00076,Unpopular opinion: gun safety deserves way more attention.,female,Republican,liberal,Asian,45-54,high school,75k-100k,married,somewhat religious,0,popular,13,0.7869,0.9361,food_&_dining,0.202,0.1805
post_00105,user_00053,What's everyone's take on foreign policy? I'm genuinely curious.,male,Independent,moderate,White,45-54,high school,50k-75k,divorced,not religious,1,popular,13,0.454,0.4922,other,0.5903,0.1137
post_00073,user_00037,Just saw the news about immigration reform. Interesting times ahead.,non-binary,Republican,liberal,White,45-54,postgraduate,25k-50k,married,somewhat religious,0,popular,13,-0.711,0.5327,business_&_entrepreneurs,0.0848,0.0694
post_00096,user_00048,Reading about tax policy this morning — highly recommend.,female,Independent,very conservative,Hispanic,45-54,high school,<25k,married,somewhat religious,0,popular,13,0.1081,0.5724,celebrity_&_pop_culture,0.2377,0.2738
post_00193,user_00097,Why does no one talk about social media enough? It really matters.,female,Republican,liberal,White,65+,college,25k-50k,married,somewhat religious,0,popular,13,-0.6661,0.2494,sports,0.3986,0.181
post_00031,user_00016,"Reminder that education funding affects everyone, not just a few.",male,Democrat,moderate,White,25-34,college,50k-75k,married,religious,0,popular,13,0.1584,0.3675,other,0.9846,0.1754
post_00169,user_00085,Long thread incoming on mental health — stay tuned.,non-binary,Republican,very liberal,Asian,35-44,college,50k-75k,single,very religious,0,popular,13,-0.7204,0.0666,food_&_dining,0.5864,0.0146
post_00094,user_00047,Excited to share my thoughts on foreign policy with everyone.,female,Other,liberal,White,55-64,high school,<25k,divorced,not religious,0,popular,13,0.7816,0.553,family,0.0672,0.1227
post_00102,user_00051,Reading about housing affordability this morning — highly recommend.,other,Republican,very liberal,White,18-24,high school,<25k,married,somewhat religious,0,popular,13,0.1753,0.2882,family,0.8021,0.0761
post_00058,user_00029,Quick update on foreign policy: things are moving fast.,female,Democrat,liberal,Asian,45-54,college,<25k,married,religious,0,popular,13,0.9414,0.6629,sports,0.1536,0.0108
post_00109,user_00055,Excited to share my thoughts on infrastructure with everyone.,male,Democrat,very liberal,White,35-44,college,75k-100k,divorced,not religious,1,popular,13,-0.0666,0.0249,food_&_dining,0.9584,0.0738
post_00019,user_00010,Excited to share my thoughts on mental health with everyone.,female,Republican,liberal,White,35-44,college,75k-100k,single,religious,0,popular,13,-0.3794,0.4423,diaries_&_daily_life,0.2994,0.1566
post_00095,user_00048,Hot take: media bias is more complicated than people think.,female,Independent,very conservative,Hispanic,45-54,high school,<25k,married,somewhat religious,1,popular,13,-0.6588,0.7349,family,0.9247,0.1832
post_00183,user_00092,Long thread incoming on mental health — stay tuned.,male,Independent,very liberal,White,18-24,high school,50k-75k,single,religious,0,popular,13,0.4895,0.1403,science_&_technology,0.6877,0.0938
post_00032,user_00016,The tax policy situation has been on my mind a lot lately.,male,Democrat,moderate,White,25-34,college,50k-75k,married,religious,0,popular,13,-0.1013,0.3851,celebrity_&_pop_culture,0.8668,0.2079
post_00052,user_00026,Why does no one talk about media bias enough? It really matters.,female,Other,conservative,White,35-44,postgraduate,75k-100k,married,very religious,1,popular,13,-0.8199,0.4163,travel_&_adventure,0.6308,0.1085
post_00074,user_00037,Reading about infrastructure this morning — highly recommend.,non-binary,Republican,liberal,White,45-54,postgraduate,25k-50k,married,somewhat religious,0,popular,13,-0.8116,0.0139,travel_&_adventure,0.5203,0.085
post_00023,user_00012,Just saw the news about renewable energy. Interesting times ahead.,male,Republican,liberal,White,18-24,college,<25k,married,very religious,0,popular,13,-0.3403,0.8044,family,0.7937,0.1787
post_00149,user_00075,Just saw the news about media bias. Interesting times ahead.,female,Independent,liberal,White,65+,postgraduate,25k-50k,divorced,somewhat religious,0,popular,13,-0.0186,0.9589,celebrity_&_pop_culture,0.8009,0.2388
post_00118,user_00059,Unpopular opinion: tax policy deserves way more attention.,male,Republican,liberal,White,65+,college,100k+,single,religious,1,popular,13,0.7132,0.3275,celebrity_&_pop_culture,0.7338,0.2692
post_00017,user_00009,Why does no one talk about housing affordability enough? It really matters.,male,Democrat,liberal,White,55-64,college,25k-50k,married,not religious,0,popular,13,0.5223,0.1318,family,0.3145,0.2376
post_00171,user_00086,Why does no one talk about climate policy enough? It really matters.,male,Independent,very liberal,Hispanic,55-64,high school,25k-50k,married,religious,0,popular,13,0.3238,0.5045,travel_&_adventure,0.5871,0.0488
post_00080,user_00040,Today I'm thinking about housing affordability and what it means for all of us.,male,Independent,conservative,Hispanic,35-44,high school,75k-100k,divorced,very religious,0,popular,13,0.9384,0.5142,learning_&_educational,0.7207,0.1781
post_00051,user_00026,Just saw the news about election integrity. Interesting times ahead.,female,Other,conservative,White,35-44,postgraduate,75k-100k,married,very religious,1,popular,13,-0.1222,0.5901,other,0.6773,0.0448
post_00101,user_00051,Excited to share my thoughts on housing affordability with everyone.,other,Republican,very liberal,White,18-24,high school,<25k,married,somewhat religious,1,popular,14,-0.9853,0.8675,gaming,0.1507,0.0967
post_00047,user_00024,Excited to share my thoughts on immigration reform with everyone.,non-binary,Republican,conservative,White,25-34,college,50k-75k,married,not religious,0,popular,14,-0.3921,0.1536,gaming,0.0581,0.0094
post_00114,user_00057,Why does no one talk about climate policy enough? It really matters.,female,Democrat,moderate,Black,35-44,high school,<25k,married,somewhat religious,0,popular,14,-0.1298,0.9361,arts_&_culture,0.9153,0.1184
post_00120,user_00060,New report on renewable energy just dropped. The findings are surprising.,female,Democrat,moderate,White,35-44,postgraduate,50k-75k,married,not religious,0,popular,14,-0.225,0.6031,sports,0.3926,0.0999
post_00197,user_00099,Had a great conversation today about labor rights. So much nuance.,male,Independent,moderate,White,65+,postgraduate,25k-50k,married,religious,0,popular,14,0.1818,0.1321,celebrity_&_pop_culture,0.0487,0.2177
post_00143,user_00072,What's everyone's take on education funding? I'm genuinely curious.,female,Democrat,conservative,Other,25-34,postgraduate,100k+,married,somewhat religious,0,popular,14,0.5678,0.8511,fitness_&_health,0.3406,0.2566
post_00084,user_00042,"Reminder that renewable energy affects everyone, not just a few.",male,Independent,liberal,Hispanic,35-44,postgraduate,25k-50k,single,somewhat religious,0,popular,14,-0.2584,0.6943,news_&_social_concern,0.0721,0.2984
post_00065,user_00033,Unpopular opinion: renewable energy deserves way more attention.,female,Republican,moderate,White,35-44,postgraduate,75k-100k,single,somewhat religious,0,popular,14,-0.7709,0.5944,gaming,0.4933,0.1382
post_00152,user_00076,Unpopular opinion: gun safety deserves way more attention.,female,Republican,liberal,Asian,45-54,high school,75k-100k,married,somewhat religious,0,popular,14,0.7869,0.9361,food_&_dining,0.202,0.1805
post_00020,user_00010,Hot take: media bias is more complicated than people think.,female,Republican,liberal,White,35-44,college,75k-100k,single,religious,0,popular,14,-0.4128,0.318,family,0.9096,0.1857
post_00103,user_00052,"Reminder that tech regulation affects everyone, not just a few.",male,Republican,very conservative,White,55-64,high school,25k-50k,married,somewhat religious,0,popular,14,0.7068,0.0534,arts_&_culture,0.4826,0.1771
post_00117,user_00059,Hot take: student debt is more complicated than people think.,male,Republican,liberal,White,65+,college,100k+,single,religious,0,popular,14,0.5738,0.4539,other,0.1809,0.0727
post_00068,user_00034,Quick update on gun safety: things are moving fast.,female,Democrat,conservative,Hispanic,18-24,college,50k-75k,divorced,religious,0,popular,14,0.2694,0.921,gaming,0.6491,0.2756
post_00078,user_00039,Can we talk about tax policy? There's so much to unpack here.,female,Other,moderate,White,55-64,high school,50k-75k,widowed,religious,0,popular,14,0.1435,0.5937,diaries_&_daily_life,0.2345,0.1224
post_00001,user_00001,Reading about tax policy this morning — highly recommend.,male,Republican,moderate,White,55-64,postgraduate,50k-75k,married,somewhat religious,0,popular,14,-0.7195,0.565,fitness_&_health,0.6716,0.2577
post_00191,user_00096,Hot take: foreign policy is more complicated than people think.,male,Other,liberal,Hispanic,65+,high school,50k-75k,divorced,not religious,0,popular,14,0.7923,0.1713,business_&_entrepreneurs,0.8956,0.0599
post_00162,user_00081,Had a great conversation today about renewable energy. So much nuance.,female,Other,very conservative,Hispanic,65+,college,75k-100k,married,not religious,1,popular,14,0.3947,0.1439,learning_&_educational,0.5036,0.2623
post_00104,user_00052,Reading about media bias this morning — highly recommend.,male,Republican,very conservative,White,55-64,high school,25k-50k,married,somewhat religious,0,popular,14,-0.3681,0.4794,fitness_&_health,0.4533,0.1403
post_00164,user_00082,Today I'm thinking about media bias and what it means for all of us.,male,Republican,conservative,White,25-34,college,75k-100k,single,somewhat religious,1,popular,14,0.7172,0.5007,diaries_&_daily_life,0.9211,0.0466
post_00082,user_00041,The tax policy situation has been on my mind a lot lately.,male,Independent,conservative,White,65+,college,75k-100k,single,very religious,1,popular,14,-0.6415,0.4543,fitness_&_health,0.5295,0.2643
post_00081,user_00041,Hot take: social media is more complicated than people think.,male,Independent,conservative,White,65+,college,75k-100k,single,very religious,0,popular,14,-0.0486,0.7848,sports,0.1638,0.0906
post_00086,user_00043,Today I'm thinking about foreign policy and what it means for all of us.,male,Democrat,moderate,White,18-24,college,<25k,married,religious,0,popular,14,0.0377,0.7803,family,0.0177,0.2806
post_00130,user_00065,"Reminder that housing affordability affects everyone, not just a few.",female,Republican,liberal,White,25-34,college,25k-50k,married,very religious,0,popular,14,-0.764,0.7795,arts_&_culture,0.9818,0.2176
post_00177,user_00089,New report on mental health just dropped. The findings are surprising.,male,Democrat,liberal,White,55-64,college,25k-50k,single,somewhat religious,0,popular,14,-0.1829,0.1746,science_&_technology,0.8445,0.1708
post_00077,user_00039,"Reminder that tax policy affects everyone, not just a few.",female,Other,moderate,White,55-64,high school,50k-75k,widowed,religious,0,popular,14,-0.5708,0.0554,celebrity_&_pop_culture,0.3385,0.0725
post_00069,user_00035,Today I'm thinking about foreign policy and what it means for all of us.,female,Democrat,moderate,Black,65+,postgraduate,50k-75k,divorced,religious,0,popular,14,0.8721,0.3144,diaries_&_daily_life,0.7009,0.1131
post_00112,user_00056,New report on gun safety just dropped. The findings are surprising.,male,Independent,moderate,White,65+,high school,100k+,married,religious,1,popular,14,0.9238,0.6425,fitness_&_health,0.6204,0.2124
post_00074,user_00037,Reading about infrastructure this morning — highly recommend.,non-binary,Republican,liberal,White,45-54,postgraduate,25k-50k,married,somewhat religious,1,popular,14,-0.8116,0.0139,travel_&_adventure,0.5203,0.085
post_00161,user_00081,Reading about media bias this morning — highly recommend.,female,Other,very conservative,Hispanic,65+,college,75k-100k,married,not religious,0,popular,14,0.4447,0.0493,news_&_social_concern,0.1775,0.2439
post_00123,user_00062,Excited to share my thoughts on labor rights with everyone.,male,Democrat,conservative,Asian,55-64,college,25k-50k,single,somewhat religious,0,popular,14,0.6455,0.8041,business_&_entrepreneurs,0.2806,0.2708
post_00059,user_00030,Hot take: education funding is more complicated than people think.,male,Democrat,liberal,Black,65+,high school,<25k,married,not religious,0,popular,14,-0.8072,0.2665,politics,0.7324,0.1522
post_00142,user_00071,Excited to share my thoughts on media bias with everyone.,male,Democrat,liberal,White,18-24,college,50k-75k,single,religious,0,popular,14,-0.6107,0.9248,arts_&_culture,0.3649,0.0123
post_00032,user_00016,The tax policy situation has been on my mind a lot lately.,male,Democrat,moderate,White,25-34,college,50k-75k,married,religious,1,popular,14,-0.1013,0.3851,celebrity_&_pop_culture,0.8668,0.2079
post_00022,user_00011,Hot take: foreign policy is more complicated than people think.,female,Independent,liberal,Other,18-24,postgraduate,<25k,single,religious,0,popular,14,-0.6934,0.0123,diaries_&_daily_life,0.9091,0.2261
post_00140,user_00070,"Reminder that renewable energy affects everyone, not just a few.",male,Democrat,moderate,White,35-44,high school,50k-75k,single,somewhat religious,0,popular,14,-0.5181,0.1219,family,0.897,0.2865
post_00037,user_00019,Unpopular opinion: gun safety deserves way more attention.,female,Democrat,conservative,White,25-34,college,25k-50k,married,religious,1,popular,14,-0.1077,0.9248,diaries_&_daily_life,0.3075,0.0953
post_00171,user_00086,Why does no one talk about climate policy enough? It really matters.,male,Independent,very liberal,Hispanic,55-64,high school,25k-50k,married,religious,0,popular,14,0.3238,0.5045,travel_&_adventure,0.5871,0.0488
post_00163,user_00082,Can we talk about student debt? There's so much to unpack here.,male,Republican,conservative,White,25-34,college,75k-100k,single,somewhat religious,0,popular,14,-0.4372,0.3936,diaries_&_daily_life,0.5048,0.256
post_00172,user_00086,"Reminder that labor rights affects everyone, not just a few.",male,Independent,very liberal,Hispanic,55-64,high school,25k-50k,married,religious,0,popular,14,0.6095,0.8677,news_&_social_concern,0.4482,0.1469
post_00027,user_00014,Why does no one talk about tax policy enough? It really matters.,female,Republican,moderate,Asian,45-54,postgraduate,25k-50k,married,not religious,0,popular,14,0.1621,0.6948,science_&_technology,0.037,0.1188
post_00195,user_00098,Can we talk about tech regulation? There's so much to unpack here.,male,Independent,moderate,White,45-54,college,100k+,married,not religious,0,popular,14,-0.7545,0.5883,sports,0.2351,0.0731
post_00017,user_00009,Why does no one talk about housing affordability enough? It really matters.,male,Democrat,liberal,White,55-64,college,25k-50k,married,not religious,0,popular,14,0.5223,0.1318,family,0.3145,0.2376
post_00094,user_00047,Excited to share my thoughts on foreign policy with everyone.,female,Other,liberal,White,55-64,high school,<25k,divorced,not religious,0,popular,14,0.7816,0.553,family,0.0672,0.1227
post_00072,user_00036,New report on foreign policy just dropped. The findings are surprising.,male,Democrat,very conservative,White,25-34,college,25k-50k,married,religious,0,popular,14,-0.053,0.7826,arts_&_culture,0.6219,0.0282
post_00023,user_00012,Just saw the news about renewable energy. Interesting times ahead.,male,Republican,liberal,White,18-24,college,<25k,married,very religious,0,popular,14,-0.3403,0.8044,family,0.7937,0.1787
post_00049,user_00025,Just saw the news about gun safety. Interesting times ahead.,female,Independent,conservative,White,25-34,high school,100k+,single,not religious,0,popular,14,-0.9546,0.5712,gaming,0.9173,0.2954
post_00055,user_00028,New report on minimum wage just dropped. The findings are surprising.,male,Independent,moderate,White,25-34,high school,75k-100k,single,not religious,1,popular,14,-0.238,0.0991,other,0.5985,0.0234
post_00096,user_00048,Reading about tax policy this morning — highly recommend.,female,Independent,very conservative,Hispanic,45-54,high school,<25k,married,somewhat religious,0,popular,14,0.1081,0.5724,celebrity_&_pop_culture,0.2377,0.2738
post_00060,user_00030,Just saw the news about immigration reform. Interesting times ahead.,male,Democrat,liberal,Black,65+,high school,<25k,married,not religious,0,popular,14,-0.5953,0.4169,sports,0.6541,0.005
post_00073,user_00037,Just saw the news about immigration reform. Interesting times ahead.,non-binary,Republican,liberal,White,45-54,postgraduate,25k-50k,married,somewhat religious,1,popular,14,-0.711,0.5327,business_&_entrepreneurs,0.0848,0.0694
post_00002,user_00001,Reading about climate policy this morning — highly recommend.,male,Republican,moderate,White,55-64,postgraduate,50k-75k,married,somewhat religious,0,popular,15,0.2546,0.9489,fitness_&_health,0.0409,0.082
post_00177,user_00089,New report on mental health just dropped. The findings are surprising.,male,Democrat,liberal,White,55-64,college,25k-50k,single,somewhat religious,0,popular,15,-0.1829,0.1746,science_&_technology,0.8445,0.1708
post_00190,user_00095,Unpopular opinion: foreign policy deserves way more attention.,male,Independent,liberal,Black,65+,high school,25k-50k,single,religious,0,popular,15,0.5655,0.0845,celebrity_&_pop_culture,0.7737,0.1258
post_00108,user_00054,Unpopular opinion: tech regulation deserves way more attention.,female,Independent,very conservative,Other,45-54,college,100k+,married,very religious,0,popular,15,-0.3483,0.9662,celebrity_&_pop_culture,0.3878,0.0335
post_00022,user_00011,Hot take: foreign policy is more complicated than people think.,female,Independent,liberal,Other,18-24,postgraduate,<25k,single,religious,0,popular,15,-0.6934,0.0123,diaries_&_daily_life,0.9091,0.2261
post_00174,user_00087,Quick update on tax policy: things are moving fast.,female,Democrat,very conservative,White,35-44,postgraduate,25k-50k,married,not religious,1,popular,15,-0.7205,0.4259,fitness_&_health,0.4338,0.2524
post_00070,user_00035,Just saw the news about education funding. Interesting times ahead.,female,Democrat,moderate,Black,65+,postgraduate,50k-75k,divorced,religious,0,popular,15,0.4936,0.1185,science_&_technology,0.752,0.0489
post_00180,user_00090,Had a great conversation today about housing affordability. So much nuance.,female,Democrat,conservative,Black,55-64,high school,100k+,divorced,somewhat religious,0,popular,15,0.7834,0.3833,politics,0.1344,0.1826
post_00159,user_00080,Why does no one talk about student debt enough? It really matters.,female,Republican,very liberal,White,55-64,postgraduate,100k+,divorced,religious,0,popular,15,-0.6465,0.3664,family,0.2882,0.0381
post_00042,user_00021,Why does no one talk about healthcare costs enough? It really matters.,male,Republican,moderate,White,35-44,postgraduate,25k-50k,single,somewhat religious,0,popular,15,-0.4182,0.7625,business_&_entrepreneurs,0.1368,0.2231
post_00112,user_00056,New report on gun safety just dropped. The findings are surprising.,male,Independent,moderate,White,65+,high school,100k+,married,religious,0,popular,15,0.9238,0.6425,fitness_&_health,0.6204,0.2124
post_00076,user_00038,Hot take: gun safety is more complicated than people think.,female,Independent,liberal,Hispanic,55-64,college,100k+,married,somewhat religious,1,popular,15,-0.9384,0.1155,celebrity_&_pop_culture,0.3666,0.0332
post_00157,user_00079,Quick update on tech regulation: things are moving fast.,female,Republican,moderate,Other,45-54,college,100k+,single,not religious,0,popular,15,-0.6954,0.8335,arts_&_culture,0.9275,0.0649
post_00024,user_00012,Why does no one talk about tech regulation enough? It really matters.,male,Republican,liberal,White,18-24,college,<25k,married,very religious,0,popular,15,-0.3657,0.3336,learning_&_educational,0.2964,0.03
post_00195,user_00098,Can we talk about tech regulation? There's so much to unpack here.,male,Independent,moderate,White,45-54,college,100k+,married,not religious,0,popular,15,-0.7545,0.5883,sports,0.2351,0.0731
post_00170,user_00085,Long thread incoming on media bias — stay tuned.,non-binary,Republican,very liberal,Asian,35-44,college,50k-75k,single,very religious,0,popular,15,0.53,0.1439,travel_&_adventure,0.6376,0.0415
post_00193,user_00097,Why does no one talk about social media enough? It really matters.,female,Republican,liberal,White,65+,college,25k-50k,married,somewhat religious,0,popular,15,-0.6661,0.2494,sports,0.3986,0.181
post_00063,user_00032,What's everyone's take on media bias? I'm genuinely curious.,male,Republican,moderate,Black,45-54,college,<25k,married,somewhat religious,0,popular,15,0.2877,0.1998,food_&_dining,0.0556,0.2444
post_00089,user_00045,Just saw the news about renewable energy. Interesting times ahead.,male,Democrat,very conservative,Hispanic,65+,college,25k-50k,married,religious,1,popular,15,-0.0884,0.4779,travel_&_adventure,0.5531,0.0012
post_00124,user_00062,Excited to share my thoughts on gun safety with everyone.,male,Democrat,conservative,Asian,55-64,college,25k-50k,single,somewhat religious,1,popular,15,-0.8111,0.9512,business_&_entrepreneurs,0.9592,0.0393
post_00133,user_00067,Just saw the news about tech regulation. Interesting times ahead.,female,Republican,moderate,Black,45-54,high school,75k-100k,single,somewhat religious,0,popular,15,-0.1257,0.8294,business_&_entrepreneurs,0.9891,0.0005
post_00134,user_00067,The tech regulation situation has been on my mind a lot lately.,female,Republican,moderate,Black,45-54,high school,75k-100k,single,somewhat religious,0,popular,15,-0.6002,0.6519,other,0.4693,0.0781
post_00156,user_00078,Long thread incoming on election integrity — stay tuned.,female,Democrat,conservative,Hispanic,18-24,high school,100k+,single,religious,0,popular,15,-0.1872,0.1815,gaming,0.5314,0.2756
post_00045,user_00023,Excited to share my thoughts on foreign policy with everyone.,male,Democrat,very liberal,White,55-64,high school,50k-75k,single,very religious,0,popular,15,-0.0578,0.8247,learning_&_educational,0.2437,0.0451
post_00067,user_00034,Long thread incoming on healthcare costs — stay tuned.,female,Democrat,conservative,Hispanic,18-24,college,50k-75k,divorced,religious,0,popular,15,0.5568,0.2864,fitness_&_health,0.1197,0.0309
post_00118,user_00059,Unpopular opinion: tax policy deserves way more attention.,male,Republican,liberal,White,65+,college,100k+,single,religious,1,popular,15,0.7132,0.3275,celebrity_&_pop_culture,0.7338,0.2692
post_00023,user_00012,Just saw the news about renewable energy. Interesting times ahead.,male,Republican,liberal,White,18-24,college,<25k,married,very religious,0,popular,15,-0.3403,0.8044,family,0.7937,0.1787
post_00082,user_00041,The tax policy situation has been on my mind a lot lately.,male,Independent,conservative,White,65+,college,75k-100k,single,very religious,0,popular,15,-0.6415,0.4543,fitness_&_health,0.5295,0.2643
post_00060,user_00030,Just saw the news about immigration reform. Interesting times ahead.,male,Democrat,liberal,Black,65+,high school,<25k,married,not religious,1,popular,15,-0.5953,0.4169,sports,0.6541,0.005
post_00130,user_00065,"Reminder that housing affordability affects everyone, not just a few.",female,Republican,liberal,White,25-34,college,25k-50k,married,very religious,0,popular,15,-0.764,0.7795,arts_&_culture,0.9818,0.2176
post_00065,user_00033,Unpopular opinion: renewable energy deserves way more attention.,female,Republican,moderate,White,35-44,postgraduate,75k-100k,single,somewhat religious,0,popular,15,-0.7709,0.5944,gaming,0.4933,0.1382
post_00167,user_00084,The tax policy situation has been on my mind a lot lately.,female,Independent,conservative,White,25-34,high school,50k-75k,single,very religious,0,popular,15,0.3286,0.0435,arts_&_culture,0.4988,0.0763
post_00102,user_00051,Reading about housing affordability this morning — highly recommend.,other,Republican,very liberal,White,18-24,high school,<25k,married,somewhat religious,1,popular,15,0.1753,0.2882,family,0.8021,0.0761
post_00161,user_00081,Reading about media bias this morning — highly recommend.,female,Other,very conservative,Hispanic,65+,college,75k-100k,married,not religious,0,popular,15,0.4447,0.0493,news_&_social_concern,0.1775,0.2439
post_00147,user_00074,Why does no one talk about climate policy enough? It really matters.,female,Democrat,moderate,Hispanic,55-64,postgraduate,25k-50k,divorced,somewhat religious,0,popular,15,0.1682,0.9163,learning_&_educational,0.7773,0.0152
post_00150,user_00075,Today I'm thinking about mental health and what it means for all of us.,female,Independent,liberal,White,65+,postgraduate,25k-50k,divorced,somewhat religious,0,popular,15,-0.397,0.8436,travel_&_adventure,0.0073,0.009
post_00096,user_00048,Reading about tax policy this morning — highly recommend.,female,Independent,very conservative,Hispanic,45-54,high school,<25k,married,somewhat religious,0,popular,15,0.1081,0.5724,celebrity_&_pop_culture,0.2377,0.2738
post_00041,user_00021,"Reminder that gun safety affects everyone, not just a few.",male,Republican,moderate,White,35-44,postgraduate,25k-50k,single,somewhat religious,1,popular,15,-0.0354,0.7257,sports,0.7133,0.295
post_00168,user_00084,Can we talk about election integrity? There's so much to unpack here.,female,Independent,conservative,White,25-34,high school,50k-75k,single,very religious,0,popular,15,0.6654,0.7968,fitness_&_health,0.556,0.0336
post_00069,user_00035,Today I'm thinking about foreign policy and what it means for all of us.,female,Democrat,moderate,Black,65+,postgraduate,50k-75k,divorced,religious,0,popular,15,0.8721,0.3144,diaries_&_daily_life,0.7009,0.1131
post_00116,user_00058,"Reminder that tax policy affects everyone, not just a few.",female,Independent,conservative,White,35-44,high school,100k+,married,somewhat religious,0,popular,15,-0.8834,0.6807,food_&_dining,0.852,0.0014
post_00117,user_00059,Hot take: student debt is more complicated than people think.,male,Republican,liberal,White,65+,college,100k+,single,religious,1,popular,15,0.5738,0.4539,other,0.1809,0.0727
post_00031,user_00016,"Reminder that education funding affects everyone, not just a few.",male,Democrat,moderate,White,25-34,college,50k-75k,married,religious,1,popular,15,0.1584,0.3675,other,0.9846,0.1754
post_00054,user_00027,Can we talk about election integrity? There's so much to unpack here.,female,Democrat,conservative,White,55-64,postgraduate,25k-50k,single,very religious,0,popular,15,-0.3369,0.946,other,0.0045,0.1185
post_00191,user_00096,Hot take: foreign policy is more complicated than people think.,male,Other,liberal,Hispanic,65+,high school,50k-75k,divorced,not religious,0,popular,15,0.7923,0.1713,business_&_entrepreneurs,0.8956,0.0599
post_00104,user_00052,Reading about media bias this morning — highly recommend.,male,Republican,very conservative,White,55-64,high school,25k-50k,married,somewhat religious,0,popular,15,-0.3681,0.4794,fitness_&_health,0.4533,0.1403
post_00085,user_00043,Reading about education funding this morning — highly recommend.,male,Democrat,moderate,White,18-24,college,<25k,married,religious,0,popular,15,0.5575,0.8576,celebrity_&_pop_culture,0.9632,0.0378
post_00046,user_00023,Had a great conversation today about education funding. So much nuance.,male,Democrat,very liberal,White,55-64,high school,50k-75k,single,very religious,0,popular,15,0.0413,0.2534,sports,0.5146,0.2048
post_00186,user_00093,Today I'm thinking about gun safety and what it means for all of us.,male,Republican,moderate,Black,18-24,postgraduate,50k-75k,married,not religious,0,popular,15,0.6622,0.6861,celebrity_&_pop_culture,0.3253,0.0297
post_00011,user_00006,Excited to share my thoughts on housing affordability with everyone.,female,Democrat,moderate,White,25-34,high school,75k-100k,divorced,not religious,0,popular,15,0.6553,0.9276,fitness_&_health,0.0147,0.1959
post_00141,user_00071,Long thread incoming on education funding — stay tuned.,male,Democrat,liberal,White,18-24,college,50k-75k,single,religious,1,popular,16,0.0301,0.2705,celebrity_&_pop_culture,0.5749,0.0069
post_00007,user_00004,Today I'm thinking about gun safety and what it means for all of us.,male,Democrat,liberal,Hispanic,45-54,college,50k-75k,divorced,somewhat religious,0,popular,16,0.8757,0.8009,learning_&_educational,0.049,0.1561
post_00179,user_00090,Why does no one talk about tech regulation enough? It really matters.,female,Democrat,conservative,Black,55-64,high school,100k+,divorced,somewhat religious,0,popular,16,0.4338,0.4628,food_&_dining,0.782,0.0431
post_00184,user_00092,What's everyone's take on tech regulation? I'm genuinely curious.,male,Independent,very liberal,White,18-24,high school,50k-75k,single,religious,0,popular,16,0.1184,0.2847,gaming,0.7629,0.0565
post_00068,user_00034,Quick update on gun safety: things are moving fast.,female,Democrat,conservative,Hispanic,18-24,college,50k-75k,divorced,religious,0,popular,16,0.2694,0.921,gaming,0.6491,0.2756
post_00034,user_00017,Hot take: tech regulation is more complicated than people think.,female,Republican,conservative,White,18-24,postgraduate,50k-75k,single,somewhat religious,0,popular,16,-0.5462,0.0178,news_&_social_concern,0.1659,0.1182
post_00082,user_00041,The tax policy situation has been on my mind a lot lately.,male,Independent,conservative,White,65+,college,75k-100k,single,very religious,0,popular,16,-0.6415,0.4543,fitness_&_health,0.5295,0.2643
post_00146,user_00073,Reading about immigration reform this morning — highly recommend.,female,Democrat,liberal,Black,65+,college,50k-75k,married,not religious,0,popular,16,-0.9102,0.1478,science_&_technology,0.3924,0.2663
post_00037,user_00019,Unpopular opinion: gun safety deserves way more attention.,female,Democrat,conservative,White,25-34,college,25k-50k,married,religious,0,popular,16,-0.1077,0.9248,diaries_&_daily_life,0.3075,0.0953
post_00073,user_00037,Just saw the news about immigration reform. Interesting times ahead.,non-binary,Republican,liberal,White,45-54,postgraduate,25k-50k,married,somewhat religious,0,popular,16,-0.711,0.5327,business_&_entrepreneurs,0.0848,0.0694
post_00032,user_00016,The tax policy situation has been on my mind a lot lately.,male,Democrat,moderate,White,25-34,college,50k-75k,married,religious,0,popular,16,-0.1013,0.3851,celebrity_&_pop_culture,0.8668,0.2079
post_00188,user_00094,New report on renewable energy just dropped. The findings are surprising.,male,Republican,very liberal,Black,25-34,high school,100k+,widowed,very religious,1,popular,16,-0.6708,0.1576,sports,0.5952,0.2158
post_00112,user_00056,New report on gun safety just dropped. The findings are surprising.,male,Independent,moderate,White,65+,high school,100k+,married,religious,0,popular,16,0.9238,0.6425,fitness_&_health,0.6204,0.2124
