post_id,user_id,text,author_gender,author_partisanship,author_ideology,author_race,author_age,author_education,author_income,author_marital_status,author_religiosity,created_at,user_followers_count,user_friends_count,user_statuses_count,user_favourites_count,favorite_count,retweet_count,retweeted
post_00166,user_00083,Healthcare costs are still rising — we need to talk.,non-binary,Republican,conservative,Black,35-44,postgraduate,100k+,single,religious,2023-01-22,23542,1555,3628,19580,40,78,False
post_00167,user_00084,Education funding deserves more attention.,male,Republican,very liberal,Hispanic,45-54,high school,25k-50k,single,not religious,2023-01-19,15833,2058,7577,76935,236,32,False
post_00168,user_00084,Thoughts on climate policy today.,male,Republican,very liberal,Hispanic,45-54,high school,25k-50k,single,not religious,2023-02-02,15833,2058,7577,76935,238,36,True
post_00169,user_00085,Gun safety is a critical issue right now.,female,Republican,very conservative,Asian,25-34,high school,50k-75k,divorced,religious,2023-03-17,4890,1829,7843,45793,327,54,False
post_00170,user_00085,Gun safety is a critical issue right now.,female,Republican,very conservative,Asian,25-34,high school,50k-75k,divorced,religious,2023-02-28,4890,1829,7843,45793,101,49,False
post_00171,user_00086,Media bias is real and it matters.,male,Democrat,conservative,Other,45-54,college,50k-75k,married,not religious,2023-02-15,7039,991,3224,75463,151,37,True
post_00172,user_00086,Immigration policy needs nuance.,male,Democrat,conservative,Other,45-54,college,50k-75k,married,not religious,2023-03-26,7039,991,3224,75463,140,1,True
post_00173,user_00087,Media bias is real and it matters.,male,Republican,very conservative,Asian,25-34,high school,100k+,married,not religious,2023-01-30,39791,2054,6922,38012,180,28,True
post_00174,user_00087,Gun safety is a critical issue right now.,male,Republican,very conservative,Asian,25-34,high school,100k+,married,not religious,2023-03-21,39791,2054,6922,38012,347,17,True
post_00175,user_00088,Media bias is real and it matters.,male,Republican,conservative,Other,65+,postgraduate,75k-100k,married,not religious,2023-01-05,2633,1285,6560,58279,186,16,True
post_00176,user_00088,The housing market is wild lately.,male,Republican,conservative,Other,65+,postgraduate,75k-100k,married,not religious,2023-02-07,2633,1285,6560,58279,382,53,True
post_00177,user_00089,Renewable energy is the future.,male,Republican,liberal,Hispanic,65+,college,75k-100k,married,not religious,2023-02-16,13209,561,6543,71201,256,34,True
post_00178,user_00089,Mental health awareness is more important than ever.,male,Republican,liberal,Hispanic,65+,college,75k-100k,married,not religious,2023-02-02,13209,561,6543,71201,151,43,True
post_00179,user_00090,Immigration policy needs nuance.,female,Democrat,very conservative,Other,25-34,college,100k+,married,not religious,2023-03-28,30742,328,1253,30071,285,46,True
post_00180,user_00090,Thoughts on climate policy today.,female,Democrat,very conservative,Other,25-34,college,100k+,married,not religious,2023-02-20,30742,328,1253,30071,135,68,True
post_00181,user_00091,Immigration policy needs nuance.,female,Independent,conservative,Other,35-44,postgraduate,100k+,single,somewhat religious,2023-03-16,29854,1529,5611,34862,326,47,True
post_00182,user_00091,Education funding deserves more attention.,female,Independent,conservative,Other,35-44,postgraduate,100k+,single,somewhat religious,2023-03-28,29854,1529,5611,34862,241,3,False
post_00183,user_00092,Gun safety is a critical issue right now.,male,Republican,moderate,Hispanic,55-64,college,25k-50k,single,very religious,2023-03-31,14557,2672,617,61352,332,52,True
post_00184,user_00092,Thoughts on climate policy today.,male,Republican,moderate,Hispanic,55-64,college,25k-50k,single,very religious,2023-01-18,14557,2672,617,61352,19,38,False
post_00185,user_00093,Immigration policy needs nuance.,non-binary,Democrat,very liberal,White,25-34,postgraduate,50k-75k,married,very religious,2023-01-18,7660,418,2023,70957,232,47,False
post_00186,user_00093,Healthcare costs are still rising — we need to talk.,non-binary,Democrat,very liberal,White,25-34,postgraduate,50k-75k,married,very religious,2023-03-17,7660,418,2023,70957,212,12,False
post_00187,user_00094,Mental health awareness is more important than ever.,male,Independent,very conservative,Black,35-44,postgraduate,50k-75k,single,very religious,2023-01-28,26796,1165,368,49066,227,30,False
post_00188,user_00094,The housing market is wild lately.,male,Independent,very conservative,Black,35-44,postgraduate,50k-75k,single,very religious,2023-01-13,26796,1165,368,49066,278,45,True
post_00189,user_00095,Really interesting take on tax reform.,non-binary,Independent,moderate,Other,35-44,postgraduate,100k+,divorced,very religious,2023-02-28,26142,1150,1654,16511,339,27,True
post_00190,user_00095,The housing market is wild lately.,non-binary,Independent,moderate,Other,35-44,postgraduate,100k+,divorced,very religious,2023-01-07,26142,1150,1654,16511,124,16,True
post_00191,user_00096,Education funding deserves more attention.,non-binary,Independent,moderate,Asian,18-24,college,50k-75k,divorced,not religious,2023-01-28,4546,2290,1797,77358,168,18,True
post_00192,user_00096,Healthcare costs are still rising — we need to talk.,non-binary,Independent,moderate,Asian,18-24,college,50k-75k,divorced,not religious,2023-02-05,4546,2290,1797,77358,66,69,False
post_00193,user_00097,Thoughts on climate policy today.,female,Independent,moderate,White,55-64,college,50k-75k,divorced,somewhat religious,2023-01-17,11485,470,5515,3879,183,30,False
post_00194,user_00097,Healthcare costs are still rising — we need to talk.,female,Independent,moderate,White,55-64,college,50k-75k,divorced,somewhat religious,2023-01-03,11485,470,5515,3879,135,6,True
post_00195,user_00098,Mental health awareness is more important than ever.,non-binary,Democrat,very conservative,Asian,25-34,postgraduate,100k+,married,somewhat religious,2023-03-02,27638,2174,1031,8830,398,46,True
post_00196,user_00098,Renewable energy is the future.,non-binary,Democrat,very conservative,Asian,25-34,postgraduate,100k+,married,somewhat religious,2023-02-27,27638,2174,1031,8830,113,78,True
post_00197,user_00099,Mental health awareness is more important than ever.,non-binary,Democrat,very liberal,Other,65+,high school,25k-50k,single,very religious,2023-01-08,34223,1255,3852,4582,205,54,True
post_00198,user_00099,Mental health awareness is more important than ever.,non-binary,Democrat,very liberal,Other,65+,high school,25k-50k,single,very religious,2023-03-04,34223,1255,3852,4582,37,10,False
post_00199,user_00100,Media bias is real and it matters.,female,Republican,liberal,Asian,65+,high school,75k-100k,divorced,very religious,2023-02-05,39915,627,638,17040,324,74,False
post_00200,user_00100,Media bias is real and it matters.,female,Republican,liberal,Asian,65+,high school,75k-100k,divorced,very religious,2023-02-18,39915,627,638,17040,271,37,False
